year,ipo_count,avg_first_day_return_pct,ipo_gross_proceeds_usd_m,cape,shiller_trailing_pe,forward_pe,sp500_year_end_close,sp500_forward_1y_return_pct,sp500_forward_3y_return_pct,sp500_forward_5y_return_pct,ipo_count_percentile_full,ipo_count_percentile_expanding,ipo_gross_proceeds_usd_m_percentile_full,ipo_gross_proceeds_usd_m_percentile_expanding,avg_first_day_return_pct_percentile_full,avg_first_day_return_pct_percentile_expanding,cape_percentile_full,cape_percentile_expanding,shiller_trailing_pe_percentile_full,shiller_trailing_pe_percentile_expanding,forward_pe_percentile_full,forward_pe_percentile_expanding,high_ipo_count_full_sample,high_cape_full_sample,high_forward_pe_full_sample,complete_ipo_year,valuation_data_basis
2001,80.0,14.0,35288.0,36.98,27.55,21.0,1148.0799560546875,-23.365963957103563,5.560595980615135,23.536696320527504,0.25757575757575757,0.21428571428571427,0.8484848484848485,0.9285714285714286,0.6439393939393939,0.7261904761904762,0.9402985074626866,0.9523809523809523,0.8805970149253731,0.9523809523809523,0.8108108108108109,0.75,False,True,True,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
2002,70.0,8.6,22136.0,30.28,46.17,15.77,879.8200073242188,26.38039993281984,41.88016056362513,66.89322510603732,0.18181818181818182,0.16279069767441862,0.6060606060606061,0.7906976744186046,0.30303030303030304,0.4418604651162791,0.835820895522388,0.9069767441860465,0.9850746268656716,1.0,0.3783783783783784,0.23076923076923078,False,True,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
2003,68.0,11.9,10075.0,22.9,31.43,17.74,1111.9200439453125,8.993452410946755,27.5541399357921,-18.766641098123372,0.16666666666666666,0.1590909090909091,0.45454545454545453,0.6590909090909091,0.4772727272727273,0.6136363636363636,0.582089552238806,0.7954545454545454,0.9253731343283582,0.9545454545454546,0.5945945945945946,0.5,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
2004,181.0,12.4,31663.0,27.66,22.73,15.75,1211.9200439453125,3.0010226581274946,21.159806926819158,-7.98898152094133,0.6060606060606061,0.4666666666666667,0.7727272727272727,0.8666666666666667,0.5303030303030303,0.6222222222222222,0.7611940298507462,0.8666666666666667,0.746268656716418,0.8444444444444444,0.35135135135135137,0.2,False,True,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
2005,167.0,10.0,28578.0,26.59,19.99,14.51,1248.2900390625,13.619431738260701,-27.641015169970796,0.7490226865031868,0.5909090909090909,0.45652173913043476,0.7121212121212122,0.8260869565217391,0.3787878787878788,0.5,0.7313432835820896,0.8478260869565217,0.6268656716417911,0.7608695652173914,0.21621621621621623,0.125,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
2006,162.0,12.0,30648.0,26.47,18.07,14.87,1418.300048828125,3.5295730663479574,-21.37771013211961,-11.330470824912297,0.5454545454545454,0.44680851063829785,0.7424242424242424,0.8297872340425532,0.5,0.6170212765957447,0.7014925373134329,0.8297872340425532,0.47761194029850745,0.5957446808510638,0.2702702702702703,0.17647058823529413,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
2007,160.0,14.0,35704.0,27.21,17.36,14.4,1468.3599853515625,-38.485793060906715,-14.350702334936848,-2.8719145418019454,0.5303030303030303,0.4375,0.8636363636363636,0.9375,0.6439393939393939,0.75,0.746268656716418,0.8541666666666666,0.373134328358209,0.4583333333333333,0.1891891891891892,0.1111111111111111,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
2008,21.0,5.7,22762.0,24.02,21.46,11.67,903.25,23.45419048834072,39.230553621471074,104.63437424318434,0.07575757575757576,0.10204081632653061,0.6515151515151515,0.7551020408163265,0.1893939393939394,0.25510204081632654,0.6268656716417911,0.7551020408163265,0.7014925373134329,0.8163265306122449,0.02702702702702703,0.05263157894736842,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
2009,42.0,10.8,13296.0,15.17,70.91,14.19,1115.0999755859375,12.782713853760175,27.897943918153878,84.63814432978405,0.13636363636363635,0.16,0.5303030303030303,0.64,0.4393939393939394,0.56,0.2537313432835821,0.34,1.0,1.0,0.16216216216216217,0.15,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
2010,98.0,9.3,30624.0,20.53,20.7,13.09,1257.6400146484375,-0.0031836663936912757,46.9705133283514,62.52185980084419,0.3484848484848485,0.3333333333333333,0.7272727272727273,0.803921568627451,0.3484848484848485,0.45098039215686275,0.4626865671641791,0.6078431372549019,0.6567164179104478,0.7450980392156863,0.10810810810810811,0.09523809523809523,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
