ticker,ipo_date
PGNY,2019-10-25
PHAT,2019-10-25
ONTO,2019-10-28
SPCE,2019-10-28
PHGE,2019-10-29
PROF,2019-10-29
GTEC,2019-10-29
APXT,2019-11-05
SI,2019-11-07
CNSP,2019-11-08
TELA,2019-11-08
AHCO,2019-11-11
SITM,2019-11-21
ACEL,2019-11-21
PINE,2019-11-22
GRWG,2019-12-02
TFC,2019-12-09
J,2019-12-10
BILL,2019-12-12
SPT,2019-12-13
MNPR,2019-12-19
IMVT,2019-12-19
BRBS,2019-12-24
DHCNL,2020-01-02
DHCNI,2020-01-02
PRDO,2020-01-02
PIPR,2020-01-06
TARA,2020-01-10
BSBK,2020-01-16
MDIA,2020-01-17
VEL,2020-01-17
CLSK,2020-01-24
OVV,2020-01-27
ANVS,2020-01-29
BDTX,2020-01-30
REYN,2020-01-31
ARQT,2020-01-31
WTRG,2020-02-03
CCAP,2020-02-03
OPCH,2020-02-03
QMCO,2020-02-03
PGEN,2020-02-03
FHI,2020-02-03
SDGR,2020-02-06
ONEW,2020-02-07
COFS,2020-02-07
NREF,2020-02-07
VRT,2020-02-10
CLPT,2020-02-12
DUOT,2020-02-13
RVMD,2020-02-13
ATCX,2020-02-18
ALTG,2020-02-18
BATL,2020-02-20
PASG,2020-02-28
IBTA,2020-02-28
TT,2020-03-02
GDYN,2020-03-06
DFNS,2020-03-23
RSSS,2020-03-23
HWM,2020-04-01
RGP,2020-04-02
OTIS,2020-04-03
ZNTL,2020-04-03
CARR,2020-04-03
RTX,2020-04-03
KROS,2020-04-08
MSGE,2020-04-20
MSGS,2020-04-20
ORIC,2020-04-24
DKNG,2020-04-24
APG,2020-04-29
CRDF,2020-05-08
ADCT,2020-05-15
SLQT,2020-05-21
BHFAO,2020-05-22
LRMR,2020-05-29
SWBI,2020-06-01
HYMC,2020-06-01
WMG,2020-06-03
PLRX,2020-06-03
FOUR,2020-06-05
VRM,2020-06-09
LPRO,2020-06-11
LTRN,2020-06-11
PCVX,2020-06-12
RNA,2020-06-12
VTOL,2020-06-12
FBRX,2020-06-16
HWCPZ,2020-06-17
VRME,2020-06-18
ACI,2020-06-26
ADTX,2020-06-30
MGNI,2020-07-01
LMND,2020-07-02
SNEX,2020-07-06
CVLG,2020-07-06
CXDO,2020-07-08
NKTX,2020-07-10
AVNT,2020-07-13
NCNO,2020-07-14
GOCO,2020-07-15
RLAY,2020-07-16
ALXO,2020-07-17
ANNX,2020-07-24
NRIX,2020-07-24
VERX,2020-07-29
VITL,2020-07-31
FTHM,2020-07-31
RXT,2020-08-05
RKT,2020-08-06
IBEX,2020-08-07
BTBT,2020-08-07
OLB,2020-08-07
NTST,2020-08-13
MLAC,2020-08-14
FUSE,2020-08-14
FLUX,2020-08-14
NYC,2020-08-18
INBX,2020-08-19
HRMY,2020-08-19
KYMR,2020-08-21
HPK,2020-08-24
AOUT,2020-08-25
HGBL,2020-08-31
UTZ,2020-08-31
VYNE,2020-09-08
BEEM,2020-09-15
OM,2020-09-15
FROG,2020-09-16
MNSBP,2020-09-16
STEP,2020-09-16
BNL,2020-09-17
AMWL,2020-09-17
BIVI,2020-09-18
LUMN,2020-09-18
U,2020-09-18
NHIC,2020-09-22
LSF,2020-09-23
CRSR,2020-09-23
GDRX,2020-09-23
TSHA,2020-09-24
GOVX,2020-09-25
AMST,2020-09-25
GLSI,2020-09-25
PMVP,2020-09-25
PRLD,2020-09-25
PLTR,2020-09-30
ASAN,2020-09-30
CD,2020-09-30
TOMZ,2020-10-01
LUNG,2020-10-01
AVO,2020-10-01
THRY,2020-10-01
CCCC,2020-10-02
HYLN,2020-10-02
LNSR,2020-10-02
IMNM,2020-10-02
PCSA,2020-10-02
ASO,2020-10-02
SQFT,2020-10-07
FUBO,2020-10-08
INTZ,2020-10-09
SPRB,2020-10-09
STTK,2020-10-09
VNT,2020-10-09
EBC,2020-10-15
CURI,2020-10-15
ALGS,2020-10-16
TARS,2020-10-16
PRAX,2020-10-16
LANDO,2020-10-19
FHTX,2020-10-23
ROOT,2020-10-28
BDSX,2020-10-28
MAX,2020-10-28
