tyear,doy_rank,cum_ret_pct
2.0,183,-3.57879348616777
2.0,184,-3.728305247136343
2.0,185,-3.9139071911446397
2.0,186,-4.269584029122061
2.0,187,-4.483916432004597
2.0,188,-4.256217015756588
2.0,189,-4.242327091290495
2.0,190,-4.199299873534646
2.0,191,-3.393909819396067
2.0,192,-3.02026263534975
2.0,193,-2.303820302162924
2.0,194,-1.9784249568557974
2.0,195,-2.2468118232894203
2.0,196,-1.8755586693580546
2.0,197,-2.027429622847948
2.0,198,-2.103055525395261
2.0,199,-1.856800018978038
2.0,200,-1.8241832650320478
2.0,201,-1.6030228315222776
2.0,202,-1.278733058655249
2.0,203,-1.535657995992192
2.0,204,-1.7288477449521233
2.0,205,-2.0480185775296067
2.0,206,-1.6500972370476583
2.0,207,-1.2977487307879256
2.0,208,-1.369986216811782
2.0,209,-0.8903316172042535
2.0,210,-0.8402266013686863
2.0,211,-0.5903578436314242
2.0,212,-0.1678102157997046
2.0,213,0.09965213369553033
2.0,214,0.3110766657880734
2.0,215,0.5435872638874255
2.0,216,0.8688357147622101
2.0,217,0.7782579908608919
2.0,218,0.6334250233341071
2.0,219,0.4398861912660589
2.0,220,0.426358893530971
2.0,221,0.5018508286146354
2.0,222,0.6850789571857243
2.0,223,0.40609354735707565
2.0,224,-0.02087446409698079
2.0,225,0.6449258595445189
2.0,226,0.8801601379956503
2.0,227,0.8447580242458212
2.0,228,0.7754642216803813
2.0,229,1.1034509462181665
2.0,230,1.2013614646785766
2.0,231,1.251664463070814
2.0,232,1.4619085158866172
2.0,233,1.483621122685594
2.0,234,1.5209864309944747
2.0,235,1.537621671019136
2.0,236,1.789880956222141
2.0,237,1.7106250712265618
2.0,238,2.057278180486386
2.0,239,1.757298930584321
2.0,240,1.4093697260023212
2.0,241,1.1000661008186357
2.0,242,1.3542101484107205
2.0,243,1.1952660512809041
2.0,244,1.2533045868710169
2.0,245,1.1351747330469404
2.0,246,1.1924229774559236
2.0,247,1.3902442673276652
2.0,248,1.529464515263139
2.0,249,1.7229883354468858
2.0,250,1.982841691293105
2.0,251,2.179341874412941
2.0,252,2.3854659653853036
2.0,253,2.255333511950031
3.0,0,0.5032173938766104
3.0,1,0.7063197173902186
3.0,2,0.9847375671510243
3.0,3,1.269402016574204
3.0,4,1.3533135139111427
3.0,5,1.7438897717686992
3.0,6,1.9486795059343687
3.0,7,1.973833461072351
3.0,8,2.253167877311768
3.0,9,2.3826190563849314
3.0,10,2.4110112286802736
3.0,11,2.264924917344508
3.0,12,2.3785420978430385
3.0,13,2.7422301621455136
3.0,14,2.772466092341632
3.0,15,2.7809110632415512
3.0,16,2.997008914666927
3.0,17,3.304344869782553
3.0,18,3.3568518040828583
3.0,19,3.7276759560817245
3.0,20,4.086169585008373
3.0,21,4.137079086550628
3.0,22,4.380548316413666
3.0,23,4.382340806309829
3.0,24,4.670982449088276
3.0,25,4.534955355337765
3.0,26,4.203765932147277
3.0,27,4.418218826502253
3.0,28,4.772621733594408
3.0,29,5.099525713571247
3.0,30,5.5440178539581915
3.0,31,5.774671257673876
3.0,32,5.373526112761362
3.0,33,5.191839490723854
3.0,34,5.2386132012013675
3.0,35,5.1202381180161325
3.0,36,4.687702801200977
3.0,37,4.717712862990506
3.0,38,4.7820745066654595
3.0,39,4.750066434918971
3.0,40,5.030850045884518
3.0,41,5.601207498873541
3.0,42,5.8179295685678065
3.0,43,5.748466181106456
3.0,44,5.808260349501785
3.0,45,5.466982253855345
3.0,46,5.304327437352206
3.0,47,5.521989599737122
3.0,48,5.671025952089686
3.0,49,5.630789786683324
3.0,50,6.047767342498379
3.0,51,6.201648552403579
3.0,52,6.478745608780804
3.0,53,6.769412356737689
3.0,54,6.779223122068862
3.0,55,6.640574183205264
3.0,56,6.844926286656042
3.0,57,6.758482563631885
3.0,58,6.699262424570354
3.0,59,7.173509441007708
3.0,60,7.062718397936328
3.0,61,7.337411823658807
3.0,62,7.6794543354199964
3.0,63,7.750756842841658
3.0,64,7.725402640263317
3.0,65,7.894760160566926
3.0,66,7.920008739244325
3.0,67,8.023573306718024
3.0,68,8.081319329376175
3.0,69,8.146565107618029
3.0,70,8.750118803715665
3.0,71,9.120952613108363
3.0,72,9.300193729615975
3.0,73,9.443379639018017
3.0,74,9.517070836013776
3.0,75,9.702296511949221
3.0,76,9.811370283985594
3.0,77,9.556766410106917
3.0,78,9.6448120868039
3.0,79,10.176495202400174
3.0,80,10.240859169797352
3.0,81,10.299143937123073
3.0,82,10.341171689968961
3.0,83,10.463625896254634
3.0,84,10.44450021370208
