event_class,anchor,event,series,pre60,pre20,post20,post60,post120
war,buildup,2022 Russia invades Ukraine,Gold,3.697702659492396,3.3158515042968384,-4.347250935701129,-1.7162849482108364,1.5757258745714202
war,buildup,2022 Russia invades Ukraine,Cash,-0.03621303178943845,-0.027159276613986684,-0.018114889486871986,-0.11778473190704912,-0.23570143537676147
war,buildup,2022 Russia invades Ukraine,Credit,-0.3672673598015903,0.10354210654725607,-0.6228404342136213,-3.8204811902512508,-9.056119516796038
war,buildup,2022 Russia invades Ukraine,US_smallcap,9.240735194504078,6.429417893555329,-7.354745761661566,-17.442363205193804,-20.415498233319
war,buildup,2022 Russia invades Ukraine,VIX,17.91,18.64,-0.120000000000001,3.799999999999997,
war,outbreak,2023 Hamas attack / Gaza war,SPX,-3.8407215302108964,-3.441294760376068,0.6968788974640884,7.82772466238333,18.290143699438193
war,outbreak,2023 Hamas attack / Gaza war,US,-3.9379261720933596,-3.7717303529641497,0.7868419718919171,7.826781244987105,18.308514761590292
war,outbreak,2023 Hamas attack / Gaza war,EM,-8.157119561930731,-4.090441241853417,2.927782476690318,4.72973460709972,9.311853568385823
war,outbreak,2023 Hamas attack / Gaza war,China,-7.769279984600946,-3.653159438076739,0.8954575689650017,-9.772164606075675,-6.276645719088407
war,outbreak,2023 Hamas attack / Gaza war,Taiwan,-6.950635926584529,0.2644897500975925,0.8984389246383732,-2.4736650935513387,7.503520415298961
war,outbreak,2023 Hamas attack / Gaza war,Korea,-13.886176566179948,-7.1122708904661645,6.952859929160514,7.016657243988791,13.12412261005158
war,outbreak,2023 Hamas attack / Gaza war,Japan,-4.7069424518646406,-4.54661136760139,2.7330918995047973,5.727039290488072,16.053542216986322
war,outbreak,2023 Hamas attack / Gaza war,AsiaExJapan,-8.211361405993129,-3.3475926474848636,2.0899078407895755,2.1670434203644917,7.380392681899788
war,outbreak,2023 Hamas attack / Gaza war,India,-0.3848293869346058,-3.05997954545382,0.22654852350107116,10.579132184334652,15.670709931449375
war,outbreak,2023 Hamas attack / Gaza war,Europe,-9.10598217609485,-4.210778914820144,0.75322268691379,8.865198914888799,15.196379676328899
war,outbreak,2023 Hamas attack / Gaza war,Bonds,-8.511378327292629,-4.013228062638734,-0.043879904970127094,7.015871599059932,3.829318258919001
war,outbreak,2023 Hamas attack / Gaza war,Gold,-4.78586558805121,-3.1243794366371986,5.8872866439431375,9.146439463827752,19.96912915387441
war,outbreak,2023 Hamas attack / Gaza war,Cash,-0.04537407323857654,-0.018150715041545286,-0.01816093712102508,0.018150715041545286,-0.07264968450603021
war,outbreak,2023 Hamas attack / Gaza war,Credit,-2.5215319538188767,-2.0543993356857215,1.1945265285080544,4.525295620536649,4.877060219216724
war,outbreak,2023 Hamas attack / Gaza war,US_smallcap,-9.59891487266103,-5.783507194842912,-0.9760133228206812,10.787463188064098,16.146380217994533
war,outbreak,2023 Hamas attack / Gaza war,VIX,13.48,13.8,-0.41999999999999815,-2.5599999999999987,
war,outbreak,2024 US-UK Houthi strikes,SPX,8.974644599151963,1.6171647730447665,4.855487206601505,7.5819132071666075,15.266511303242588
war,outbreak,2024 US-UK Houthi strikes,US,8.928403753090208,1.2860011639268059,4.972829299838824,7.588401624991809,15.347634272800082
war,outbreak,2024 US-UK Houthi strikes,EM,3.3349173603008273,-1.041094246631538,1.6051678939982668,4.874823169472167,10.501274362707385
war,outbreak,2024 US-UK Houthi strikes,China,-12.720041582525898,-5.1325567891677695,-0.7100556079352088,5.523529395738962,11.528666035181978
war,outbreak,2024 US-UK Houthi strikes,Taiwan,-2.596385526802633,-11.470449573043922,6.070469825227994,11.065261076639462,24.316852949475347
war,outbreak,2024 US-UK Houthi strikes,Korea,3.8542971206943633,-3.9151772395759536,4.913151502835453,3.1916715674601415,10.583300123838132
war,outbreak,2024 US-UK Houthi strikes,Japan,10.363923018593395,3.710941174379703,0.809600987847485,4.3449835682989475,4.690315556324609
war,outbreak,2024 US-UK Houthi strikes,AsiaExJapan,1.121858474096391,-1.323708098539353,1.7204767038029507,5.075085622785274,13.271755697820906
war,outbreak,2024 US-UK Houthi strikes,India,10.968438445450959,4.085535586225053,0.638469251177164,4.424291971497367,12.531623205484054
war,outbreak,2024 US-UK Houthi strikes,Europe,8.389862243542131,-0.7235640497562921,0.3572871950021572,5.346013278520553,6.9661583434581305
war,outbreak,2024 US-UK Houthi strikes,Bonds,8.755616156095181,0.35546576272955116,-1.9638648865782404,-4.869469507691007,-2.543709751899013
war,outbreak,2024 US-UK Houthi strikes,Gold,6.283676094779554,1.1158810660573604,-1.3510220064973248,12.796757684366394,14.060306901413021
war,outbreak,2024 US-UK Houthi strikes,Cash,0.054389956849515406,0.02719128059055122,-0.06346013272339733,-0.14510798406025321,-0.15418639232582948
war,outbreak,2024 US-UK Houthi strikes,Credit,7.078705822382335,0.7233273229614761,-0.65852715071464,-1.5825905461333618,-0.37391995728552463
war,outbreak,2024 US-UK Houthi strikes,US_smallcap,9.938096574605819,-0.05174156993912668,4.912778125462626,3.9075385128712106,4.5771703060907445
war,outbreak,2024 US-UK Houthi strikes,VIX,19.22,12.19,0.8100000000000005,0.4900000000000002,
war,buildup,2024 US-UK Houthi strikes,SPX,9.288597993696445,4.8967171176107795,0.8481883085119702,7.643060301546568,12.566278987517245
war,buildup,2024 US-UK Houthi strikes,US,9.199740638817783,5.0326564215441,0.5320293548692451,7.4991131897830074,12.221855213727782
war,buildup,2024 US-UK Houthi strikes,EM,3.941525667652673,1.670397319154691,-4.9021613673344895,1.9009281925015977,4.5988049643182105
war,buildup,2024 US-UK Houthi strikes,China,-10.134348312665093,-7.3484021823224115,-10.236063865542963,-0.7713567966075435,8.048587498967873
war,buildup,2024 US-UK Houthi strikes,Taiwan,10.078626668499341,3.3106689397751556,-13.654094994774344,-2.2914238061677605,4.121030530874943
war,buildup,2024 US-UK Houthi strikes,Korea,5.425769693397007,3.0688938012928064,-9.230805091064045,2.157571611454831,-0.6407830915111308
war,buildup,2024 US-UK Houthi strikes,Japan,2.002469819203563,1.116440265713413,4.1627443036660825,9.840538523856772,7.646158289099516
war,buildup,2024 US-UK Houthi strikes,AsiaExJapan,2.0739640793406346,0.4113613631553521,-5.243823977173501,2.5815650830006915,7.524776268761444
war,buildup,2024 US-UK Houthi strikes,India,8.569905684506823,7.296572937699188,1.2712960654316967,4.163061004738335,11.304857980106142
war,buildup,2024 US-UK Houthi strikes,Europe,7.513572764199339,4.022318175158548,-2.462330458573809,4.790863105109911,5.402540914709401
war,buildup,2024 US-UK Houthi strikes,Bonds,4.803551194744053,5.2117053644295614,-2.0492531384443606,-3.1127716507638348,-3.738578320052873
war,buildup,2024 US-UK Houthi strikes,Gold,5.079952178632593,2.2674332950018297,-0.23489545273491647,6.166679678423599,13.193339573480916
war,buildup,2024 US-UK Houthi strikes,Cash,-0.444907322375888,-0.444907322375888,0.45396845965848226,0.39053708141406196,0.26355349097354913
war,buildup,2024 US-UK Houthi strikes,Credit,3.9480598259296293,2.912900134844093,0.07790879101961877,0.11684043667138647,0.10386160526574444
war,buildup,2024 US-UK Houthi strikes,US_smallcap,10.94783763750163,10.035055124566588,-3.358492839259685,2.65334097646351,1.7750302767192088
war,buildup,2024 US-UK Houthi strikes,VIX,16.9,13.41,0.25,2.51,
war,outbreak,2025 Houthi campaign,SPX,-6.793882112348124,-7.459251202559443,-4.858779097646562,5.93675928850881,13.496400034115089
war,outbreak,2025 Houthi campaign,US,-6.822836741902591,-7.28908744351339,-5.057185413901453,5.913541685593041,13.527669617703111
war,outbreak,2025 Houthi campaign,EM,2.7048539172063757,1.9381495065101029,-7.18884067630727,5.808523777451362,12.00535483836523
war,outbreak,2025 Houthi campaign,China,22.117566013950903,9.405984777652225,-14.636282178968013,-3.937853280493467,4.159911356363199
war,outbreak,2025 Houthi campaign,Taiwan,-7.13433586818583,-3.9440660603426,-10.249424708580811,9.618828036648598,18.442282230057497
