cohort,series,horizon,median,hit_rate_pos,n
pres_flip,Europe_minus_US,+60,-2.8280472305970465,0.25,4
pres_flip,Europe_minus_US,pre60,-3.9529432185346915,0.0,4
pres_flip,Europe_minus_US,+120,3.6305050627843567,0.75,4
pres_flip,Europe_minus_US,pre120,-8.657506916722365,0.0,4
pres_flip,flow_US,+4,2.5952631246330258,1.0,4
pres_flip,flow_US,pre4,2.177111019697202,1.0,4
pres_flip,flow_US,+13,5.518853912990675,1.0,4
pres_flip,flow_US,pre13,4.677015466468452,1.0,4
pres_flip,flow_US,+26,11.951381588457297,1.0,4
pres_flip,flow_US,pre26,9.587214870387381,1.0,4
pres_flip,flow_EM,+4,-0.5925493289631514,0.25,4
pres_flip,flow_EM,pre4,0.8055105417188891,0.75,4
pres_flip,flow_EM,+13,7.062317705554711,0.75,4
pres_flip,flow_EM,pre13,0.9942333962175856,1.0,4
pres_flip,flow_EM,+26,16.573545743002448,1.0,4
pres_flip,flow_EM,pre26,9.473191839430147,0.5,4
pres_flip,flow_China,+4,1.5936788907011552,0.5,4
pres_flip,flow_China,pre4,-3.860502244856576,0.0,4
pres_flip,flow_China,+13,-5.612928767549436,0.5,4
pres_flip,flow_China,pre13,6.177743088683184,0.75,4
pres_flip,flow_China,+26,-1.7901239496673735,0.5,4
pres_flip,flow_China,pre26,4.826739296145692,0.5,4
pres_flip,flow_Europe,+4,2.3132225678207305,0.8,5
pres_flip,flow_Europe,pre4,0.45410398441489974,0.6,5
pres_flip,flow_Europe,+13,0.3768449421915996,0.6,5
pres_flip,flow_Europe,pre13,-1.9437166867733005,0.4,5
pres_flip,flow_Europe,+26,5.880825266088882,0.6,5
pres_flip,flow_Europe,pre26,-1.9240810400531971,0.4,5
pres_flip,flow_Bonds,+4,-2.740187477118183,0.0,4
pres_flip,flow_Bonds,pre4,0.8696449533243076,0.5,4
pres_flip,flow_Bonds,+13,-2.1554836476748003,0.0,4
pres_flip,flow_Bonds,pre13,2.5710617005190373,1.0,4
pres_flip,flow_Bonds,+26,-1.1522587820158319,0.25,4
pres_flip,flow_Bonds,pre26,6.610320923451634,1.0,4
pres_flip,flow_Gold,+4,-0.5512104532500517,0.5,4
pres_flip,flow_Gold,pre4,-0.06977687626889639,0.5,4
pres_flip,flow_Gold,+13,1.1146351106420647,0.5,4
pres_flip,flow_Gold,pre13,4.626829942875232,0.75,4
pres_flip,flow_Gold,+26,0.067596677694433,0.5,4
pres_flip,flow_Gold,pre26,8.453807258358838,1.0,4
pres_flip,flow_Cash,+4,1.0515606641117246,0.75,4
pres_flip,flow_Cash,pre4,-2.8195276225819175,0.25,4
pres_flip,flow_Cash,+13,-3.3981639456544324,0.5,4
pres_flip,flow_Cash,pre13,4.365132987204106,0.5,4
pres_flip,flow_Cash,+26,14.45845333849295,0.75,4
pres_flip,flow_Cash,pre26,2.2444754228813384,0.5,4
pres_hold,SPX,+20,4.243936273143512,0.6666666666666666,3
pres_hold,SPX,pre20,-0.34612419390823485,0.3333333333333333,3
pres_hold,SPX,+60,4.605303824839625,1.0,3
pres_hold,SPX,pre60,5.953181392083092,1.0,3
pres_hold,SPX,+120,10.258427237718562,1.0,3
pres_hold,SPX,pre120,7.087286069397428,1.0,3
pres_hold,US,+20,2.0740693600295406,0.5,2
pres_hold,US,pre20,-1.2486753032479303,0.0,2
pres_hold,US,+60,3.911690746164689,1.0,2
pres_hold,US,pre60,3.7807413385519824,1.0,2
pres_hold,US,+120,5.829678694628963,1.0,2
pres_hold,US,pre120,4.8796411239738635,1.0,2
pres_hold,EM,+20,4.886069957122185,1.0,2
pres_hold,EM,pre20,0.6795673125446572,1.0,2
pres_hold,EM,+60,7.128364789157326,1.0,2
pres_hold,EM,pre60,9.335169028471686,1.0,2
pres_hold,EM,+120,6.64369626617449,1.0,2
pres_hold,EM,pre120,11.992425102965242,1.0,2
pres_hold,China,+20,0.16443820521493915,1.0,1
pres_hold,China,pre20,7.413557857298525,1.0,1
pres_hold,China,+60,5.83701763329173,1.0,1
pres_hold,China,pre60,8.622352924707494,1.0,1
pres_hold,China,+120,-1.9414366033050707,0.0,1
pres_hold,China,pre120,10.35002477925767,1.0,1
pres_hold,Europe,+20,2.571727028136689,1.0,3
pres_hold,Europe,pre20,1.1267319355741856,0.6666666666666666,3
pres_hold,Europe,+60,5.503384117310799,1.0,3
pres_hold,Europe,pre60,7.62645817225086,1.0,3
pres_hold,Europe,+120,8.35548572189616,1.0,3
pres_hold,Europe,pre120,11.365556079631425,1.0,3
